Resident_ID,Resident_Name,Gender,Date_of_Birth,Mobile_Number,Email,Aadhaar_Number,Company_Name,Employee_ID,Occupation,Check_In_Date,Check_Out_Date,Room_Number,Bed_Number,Room_Type,Floor,Monthly_Rent,Deposit_Amount,Amount_Paid,Balance_Amount,Payment_Date,Payment_Method,Payment_Status,Occupancy_Status,Resident_Status,Emergency_Contact,Parent_Name,Parent_Contact,Permanent_Address,City,State,Pincode,Nationality,Religion,ID_Proof_Type,Aadhaar_Copy,Voter_ID_Copy,Joining_Date,Exit_Date,Bed_Status,Room_Capacity,Available_Beds,Remarks,Age
R00001,Resident 1,Male,02-02-1991,800000001,resident1@example.com,1.00E+11,Infosys,EMP00001,Analyst,01-01-2026,,RM101,B1,Double,1,7000,10000,7000,0,05-07-2026,UPI,Paid,Occupied,Active,700000001,Parent 1,600000001,Address 1,Vijayawada,Andhra Pradesh,500001,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,35
R00002,Resident 2,Female,03-03-1992,800000002,resident2@example.com,1.00E+11,Wipro,EMP00002,Tester,01-01-2026,,RM101,B2,Double,1,8000,10000,8000,0,05-07-2026,PhonePe,Paid,Occupied,Active,700000002,Parent 2,600000002,Address 2,Hyderabad,Telangana,500002,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,34
R00003,Resident 3,Male,04-04-1993,800000003,resident3@example.com,1.00E+11,Accenture,EMP00003,Support Engineer,01-01-2026,,RM102,B1,Double,1,9000,10000,9000,0,05-07-2026,Google Pay,Paid,Occupied,Active,700000003,Parent 3,600000003,Address 3,Chennai,Tamil Nadu,500003,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,33
R00004,Resident 4,Female,05-05-1994,800000004,resident4@example.com,1.00E+11,Capgemini,EMP00004,Software Engineer,01-01-2026,,RM102,B2,Double,1,10000,10000,5000,5000,05-07-2026,Cash,Partial,Occupied,Active,700000004,Parent 4,600000004,Address 4,Guntur,Andhra Pradesh,500004,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,1,,32
R00005,Resident 5,Male,06-06-1995,800000005,resident5@example.com,1.00E+11,TCS,EMP00005,Analyst,01-01-2026,,RM103,B1,Double,1,6000,10000,6000,0,05-07-2026,UPI,Paid,Occupied,Active,700000005,Parent 5,600000005,Address 5,Vijayawada,Andhra Pradesh,500005,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,31
R00006,Resident 6,Female,07-07-1996,800000006,resident6@example.com,1.00E+11,Infosys,EMP00006,Tester,01-01-2026,,RM103,B2,Double,1,7000,10000,7000,0,05-07-2026,PhonePe,Paid,Occupied,Active,700000006,Parent 6,600000006,Address 6,Hyderabad,Telangana,500006,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,30
R00007,Resident 7,Male,08-08-1997,800000007,resident7@example.com,1.00E+11,Wipro,EMP00007,Support Engineer,01-01-2026,,RM104,B1,Double,1,8000,10000,8000,0,05-07-2026,Google Pay,Paid,Occupied,Active,700000007,Parent 7,600000007,Address 7,Chennai,Tamil Nadu,500007,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,28
R00008,Resident 8,Female,09-09-1998,800000008,resident8@example.com,1.00E+11,Accenture,EMP00008,Software Engineer,01-01-2026,,RM104,B2,Double,1,9000,10000,4500,4500,05-07-2026,Cash,Partial,Occupied,Active,700000008,Parent 8,600000008,Address 8,Guntur,Andhra Pradesh,500008,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,1,,27
R00009,Resident 9,Male,10-10-1999,800000009,resident9@example.com,1.00E+11,Capgemini,EMP00009,Analyst,01-01-2026,,RM105,B1,Double,1,10000,10000,10000,0,05-07-2026,UPI,Paid,Occupied,Active,700000009,Parent 9,600000009,Address 9,Vijayawada,Andhra Pradesh,500009,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,26
R00010,Resident 10,Female,11-11-1990,800000010,resident10@example.com,1.00E+11,TCS,EMP00010,Tester,01-01-2026,,RM105,B2,Double,1,6000,10000,6000,0,05-07-2026,PhonePe,Paid,Occupied,Active,700000010,Parent 10,600000010,Address 10,Hyderabad,Telangana,500010,Indian,Hindu,Aadhaar,Yes,Yes,01-01-2026,,Occupied,2,0,,35
